ctr,tokens,tokens_price,name
127,588,7.643999999999999e-05,C:\Root\nimue\data\email\ingest-processed\3cb4e7946d111fd40219ee6e38c50f9d.txt
128,643,8.359e-05,C:\Root\nimue\data\email\ingest-processed\3ec43be1cb8a71230bd7da2fca2b8acd.txt
129,42316,0.00550108,C:\Root\nimue\data\email\ingest-processed\3ef4de70a329c63efd3a3b8e051e00b5.txt
130,486,6.318e-05,C:\Root\nimue\data\email\ingest-processed\3f67d81567ad6dda44c88adc4e410e95.txt
131,114,1.482e-05,C:\Root\nimue\data\email\ingest-processed\3f85cd1fedfd667321e9dde0bce0581f.txt
132,305,3.965e-05,C:\Root\nimue\data\email\ingest-processed\3fd7e93ba1c0e837b4ece07001a9bcca.txt
133,631,8.203e-05,C:\Root\nimue\data\email\ingest-processed\3fff74fd0475b5b9ab7987adafe17c3f.txt
134,309,4.017e-05,C:\Root\nimue\data\email\ingest-processed\400dd2a08de865da6c316c21032182b8.txt
135,377,4.901000000000001e-05,C:\Root\nimue\data\email\ingest-processed\4104063f8dedb8ee75ec1fd66d0f4011.txt
136,197,2.561e-05,C:\Root\nimue\data\email\ingest-processed\41268257bb6359ccb8c3f85ce7c97108.txt
137,218,2.834e-05,C:\Root\nimue\data\email\ingest-processed\414549281c26dd7c57f6fc65d2008487.txt
138,11264,0.00146432,C:\Root\nimue\data\email\ingest-processed\41e0f2a9632f693f5f2e38f5a2f954e1.txt
139,142,1.846e-05,C:\Root\nimue\data\email\ingest-processed\4272481f113a5d0d785b88dc0e321d3b.txt
140,490,6.37e-05,C:\Root\nimue\data\email\ingest-processed\430496217081f2e8c7f3af5d08d2d5d7.txt
141,1684,0.00021892000000000002,C:\Root\nimue\data\email\ingest-processed\4409b571ee17f3bd6aefb5a16721251f.txt
142,70,9.1e-06,C:\Root\nimue\data\email\ingest-processed\4456469a53762025c26f0f660a4d4953.txt
143,298,3.8740000000000005e-05,C:\Root\nimue\data\email\ingest-processed\44827723149156c441007914fed83469.txt
144,672,8.736e-05,C:\Root\nimue\data\email\ingest-processed\44af94d36671b462fc7ef78d05f95ecf.txt
